Admin Status,VPN Access ID,Alive,Site Id,Nickname,Site Name,Region,Product,Bandwidth
322,1358,Up,80225308,1095,NG KIWI VEST AS - 7080001307189 Kiwi 820 Åsane Storsenter ÅSANE SENTER 42 5116 ULSET 5116 ULSET,BERGEN,NC MANAGED VPN ACCESS,100000
323,1359,Up,80225531,3332,SAGGU AS - 7080001411251 Joker Hem DJUPEDALSFARET 10B 3280 TJODALYNG 3280 TJODALYNG,LARVIK,NC MANAGED VPN ACCESS,100000
324,1360,Up,80225576,4551,NG KIWI ROGALAND AS - 7080001212315 Kiwi 605 Magneten OLE NIELSENS VEI 13 4330 ÅLGÅRD 4330 ÅLGÅRD,GJESDAL,NC MANAGED VPN ACCESS,100000
325,1361,Up,80224938,8140,NG KIWI ROGALAND AS - 7080001312633 Kiwi 692 Middelthon RANDABERGVEIEN 134 4027 STAVANGER 4027 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
326,1362,Up,80224707,2283,KULLBODEN DAGLIGVARE AS - 7080001208936 SPAR Kullboden HAVNEGATEN 11 3080 HOLMESTRAND 3080 HOLMESTRAND,HOLMESTRAND,NC MANAGED VPN ACCESS,100000
327,1363,Up,80225529,22603,HVALTORVET MAT AS - 7080001448400 SPAR Hvaltorvet TORGET 7 3210 SANDEFJORD 3210 SANDEFJORD,SANDEFJORD,NC MANAGED VPN ACCESS,100000
328,1364,Up,80225528,10203,MATHUSET HORTEN AS - 7080003406064 SPAR Vektergården LANGGATA 2 3187 HORTEN 3187 HORTEN,HORTEN,NC MANAGED VPN ACCESS,100000
329,1365,Up,80225589,2037,NG MENY VEST AS - 7080000584130 MENY Støletorget STØLEGATEN 15B 5003 BERGEN 5003 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
330,1366,Up,80225443,1023,HANDELSBUA AS - 7080000029549 SPAR Kjerrgarden SKUTLEVIKA 1 5314 KJERRGARDEN 5314 KJERRGARDEN,ASKØY,NC MANAGED VPN ACCESS,100000
331,1367,Up,80224932,444,NG KIWI BUSKERUD AS - 7080001322144 KIWI 578 Svelvik Senter STORGATEN 35 3060 SVELVIK 3060 SVELVIK,DRAMMEN,NC MANAGED VPN ACCESS,100000
332,1368,Up,80224940,3072,HELGØ MENY ROGALAND AS - 7080000896899 Helgø MENY Kvadrat GAMLE STOKKAVEI 1 4313 SANDNES 4313 SANDNES,SANDNES,NC MANAGED VPN ACCESS,100000
333,1369,Up,80224954,4372,KANNIK DAGLIGVARE AS - 7080001457402 Joker Kannik OLAV VS GATE 13 4005 STAVANGER 4005 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
334,1370,Up,80224981,1967,SESAM LØTEN AS - 7080000550708 Kiwi 201 Løten STASJONSVEGEN 8 2340 LØTEN 2340 LØTEN,LØTEN,NC MANAGED VPN ACCESS,100000
335,1371,Up,80225074,3316,TERTNES MAT AS - 7080001002985 Kiwi 814 Tertnes TERTNESVEIEN 88 5113 TERTNES 5113 TERTNES,BERGEN,NC MANAGED VPN ACCESS,100000
336,1372,Up,80225018,4824,HELGØ MENY ROGALAND AS - 7080001106782 Helgø MENY Hundvåg HUNDVÅGVEIEN 49 4085 HUNDVÅG 4085 HUNDVÅG,STAVANGER,NC MANAGED VPN ACCESS,100000
337,1373,Up,80224909,4553,NG KIWI MØRE AS - 7080001199340 Kiwi 914 Ulsteinvik SAUNESVEGEN 2 6065 ULSTEINVIK 6065 ULSTEINVIK,ULSTEIN,NC MANAGED VPN ACCESS,100000
338,1374,Up,80224928,303,NODELAND HANDELSFORRETNING TERJE KNUTSEN - 7080000009367 Joker Nodeland SONGDALSVEGEN 70 4645 NODELAND 4645 NODELAND,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
339,1375,Up,80225101,508,RYKENE NÆRKJØP AS - 7080001134150 Joker Rykene PRESTEVEIEN 29 4821 RYKENE 4821 RYKENE,ARENDAL,NC MANAGED VPN ACCESS,100000
340,1376,Up,80225106,7300,NG KIWI MIDT-NORGE AS - 7080001229313 Kiwi 116 Brønnøysund SØMNAVEIEN 106 8900 BRØNNØYSUND 8900 BRØNNØYSUND,BRØNNØY,NC MANAGED VPN ACCESS,100000
341,1377,Up,80225139,10444,NG MENY MIDT-NORGE AS - 7080001271947 MENY Moholt VEGAMOT 8C 7049 TRONDHEIM 7049 TRONDHEIM,TRONDHEIM,NC MANAGED VPN ACCESS,100000
342,1378,Up,80225291,3081,NG KIWI AGDER AS - 7080000960606 Kiwi 703 Flekkefjord BROGATEN 17 4400 FLEKKEFJORD 4400 FLEKKEFJORD,FLEKKEFJORD,NC MANAGED VPN ACCESS,100000
343,1379,Up,80225173,4863,NES VERK HANDEL AS - 7080001118457 Joker Nes Verk NESVERKVEIEN 234 4934 NES VERK 4934 NES VERK,TVEDESTRAND,NC MANAGED VPN ACCESS,100000
344,1380,Up,80224874,875,NG MENY VEST AS - 7080001156992 MENY Industriveien INDUSTRIVEGEN 2 5210 OS 5210 OS,BJØRNAFJORDEN,NC MANAGED VPN ACCESS,100000
345,1381,Up,80225211,3134,NG MENY VESTFOLD TELEMARK AS - 7080001061906 MENY Herkules ULEFOSSVEGEN 32 3730 SKIEN 3730 SKIEN,SKIEN,NC MANAGED VPN ACCESS,100000
346,1382,Up,80225215,246,LIE CENTER AS - 7080001151973 MENY Lietorvet LIEGATA 10 3717 SKIEN 3717 SKIEN,SKIEN,NC MANAGED VPN ACCESS,100000
347,1383,Up,80225224,2038,NG MENY VEST AS - 7080001098230 MENY SLETTEN VILHELM BJERKNES' VEI 4 5081 BERGEN 5081 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
348,1384,Up,80224914,1335,NG KIWI VEST AS - 7080000908660 Kiwi 856 Sørås FOLLDALSLIA 1G 5239 RÅDAL 5239 RÅDAL,BERGEN,NC MANAGED VPN ACCESS,100000
349,1385,Up,80225244,2035,HELGØ MENY ROGALAND AS - 7080000583966 MENY Oasen Haugesund AUSTBØVEGEN 16 5542 KARMSUND 5542 KARMSUND,KARMØY,NC MANAGED VPN ACCESS,100000
350,1386,Up,80225246,9320,HELGØ MENY ROGALAND AS - 7080003353795 Helgø MENY Tasta TASTATUNET 1 4027 STAVANGER 4027 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
351,1387,Up,80225248,273,NG MENY VEST AS - 7080001156978 MENY Kleppestø GAMLE KLEPPESTØVEGEN 2 5300 KLEPPESTØ 5300 KLEPPESTØ,ASKØY,NC MANAGED VPN ACCESS,100000
352,1388,Up,80225249,2039,NG MENY VEST AS - 7080001016685 MENY Oasen Bergen FOLKE BERNADOTTES VEI 50 5147 FYLLINGSDALEN 5147 FYLLINGSDALEN,BERGEN,NC MANAGED VPN ACCESS,100000
353,1389,Up,80225287,6000,NG MENY MIDT-NORGE AS - 7080001209629 MENY Tiller IVAR LYKKES VEG 3 7075 TILLER 7075 TILLER,TRONDHEIM,NC MANAGED VPN ACCESS,100000
354,1390,Up,80225250,1626,VAREHUSET ROSENDAL AS - 7080000376995 EUROSPAR Rosendal SKÅLAGATO 36 5470 ROSENDAL 5470 ROSENDAL,KVINNHERAD,NC MANAGED VPN ACCESS,100000
355,1391,Up,80225259,6200,NG MENY VEST AS - 7080003262981 MENY Knarvik KVERNHUSMYRANE 7A 5914 ISDALSTØ 5914 ISDALSTØ,ALVER,NC MANAGED VPN ACCESS,100000
356,1392,Up,80225284,9800,NG MENY SØR AS - 7080003392190 MENY Lillesand SENTERVEIEN 10 4790 LILLESAND 4790 LILLESAND,LILLESAND,NC MANAGED VPN ACCESS,100000
357,1393,Up,80225335,13062,NG SPAR VEST AS - 7080003500137 SPAR Kronstadparken BJØRNSONS GATE 5 5059 BERGEN 5059 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
358,1394,Up,80225338,480,NG KIWI ROGALAND AS - 7080001077730 Kiwi 638 Rubbestadneset SØRESJØVEGEN 5 5420 RUBBESTADNESET 5420 RUBBESTADNESET,BØMLO,NC MANAGED VPN ACCESS,100000
359,1395,Up,80225357,15606,NG KIWI ROGALAND AS - 7080001371555 Kiwi 694 Mosterøy MOSTERØYVEIEN 1 4156 MOSTERØY 4156 MOSTERØY,STAVANGER,NC MANAGED VPN ACCESS,100000
360,1396,Up,80225366,15629,NG SPAR VEST AS - 7080001362614 SPAR Vik RØYSAVEGEN 2 6893 VIK I SOGN 6893 VIK I SOGN,VIK,NC MANAGED VPN ACCESS,100000
361,1397,Up,80225285,2076,VIK NÆRKJØP AS - 7080000875399 Joker Vik TEMSEVEIEN 2 4885 GRIMSTAD 4885 GRIMSTAD,GRIMSTAD,NC MANAGED VPN ACCESS,100000
362,1398,Up,80225212,4247,NG MENY SØR AS - 7080001080839 MENY Krøgenes TROMØYVEIEN 1 4841 ARENDAL 4841 ARENDAL,ARENDAL,NC MANAGED VPN ACCESS,100000
363,1399,Up,80225340,4358,NG KIWI VESTFOLD TELEMARK AS - 7080001068677 Kiwi 428 Kalstad FRYDENSBORGVEIEN 4A 3772 KRAGERØ 3772 KRAGERØ,KRAGERØ,NC MANAGED VPN ACCESS,100000
364,1400,Up,80225345,5401,NG MENY SØR AS - 7080001193874 MENY Mandal KASTELLGATA 12D 4514 MANDAL 4514 MANDAL,LINDESNES,NC MANAGED VPN ACCESS,100000
365,1401,Up,80225075,866,EPA BØNES AS - 7080000023790 SPAR Bønes VÅKLEIVEN 43 5155 BØNES 5155 BØNES,BERGEN,NC MANAGED VPN ACCESS,100000
366,1402,Up,80225127,942,NG MENY VEST AS - 7080000891672 MENY Midtun SANDBREKKEVEGEN 96 5225 NESTTUN 5225 NESTTUN,BERGEN,NC MANAGED VPN ACCESS,100000
367,1403,Up,80225280,3309,NG KIWI ROGALAND AS - 7080001029869 Kiwi 623 Magasin Blå VERKSGATA 2 4013 STAVANGER 4013 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
368,1404,Up,80225346,1176,BIRKELAND HANDELSLAG AS - 7080000001552 Joker Tingvatn LYGNAVEIEN 979 4595 TINGVATN 4595 TINGVATN,HÆGEBOSTAD,NC MANAGED VPN ACCESS,100000
369,1405,Up,80225078,184,NG SPAR INNLAND AS - 7080001421724 SPAR Gol FURUVEGEN 6 3550 GOL 3550 GOL,GOL,NC MANAGED VPN ACCESS,100000
370,1406,Up,80225535,5078,NG KIWI BUSKERUD AS - 7080003605870 Kiwi 504 XL Strømsø Senter BJØRNSTJERNE BJØRNSONS GATE 60 3044 DRAMMEN 3044 DRAMMEN,DRAMMEN,NC MANAGED VPN ACCESS,100000
371,1407,Up,80225552,1074,NG KIWI VESTFOLD TELEMARK AS - 7080001072179 Kiwi 270 Hof THORSHAUGVEIEN 1 3090 HOF 3090 HOF,HOLMESTRAND,NC MANAGED VPN ACCESS,100000
372,1408,Up,80225551,7060,NG KIWI BUSKERUD AS - 7080001221911 Kiwi 570 Gulskogen GULDLISTEN 35 3048 DRAMMEN 3048 DRAMMEN,DRAMMEN,NC MANAGED VPN ACCESS,100000
373,1409,Up,80224842,1729,NG KIWI ROGALAND AS - 7080001029920 Kiwi 629 Jørpeland RÅDHUSGATEN 6 4100 JØRPELAND 4100 JØRPELAND,STRAND,NC MANAGED VPN ACCESS,100000
374,1410,Up,80224953,4489,MOENS MATHUS AS - 7080000008896 MENY Fosnavåg TOLLÅSBAKKEN 2 6090 FOSNAVÅG 6090 FOSNAVÅG,HERØY (MØRE OG ROMSDAL),NC MANAGED VPN ACCESS,100000
375,1411,Up,80225548,2315,HOLVIKA MAT AS - 7080001244682 Joker Holvika SKJÆRGÅRDSVEIEN 1 4879 GRIMSTAD 4879 GRIMSTAD,GRIMSTAD,NC MANAGED VPN ACCESS,100000
376,1412,Up,80225729,1061,NG KIWI AGDER AS - 7080001180225 Kiwi 728 Grimstad GROOSEVEIEN 2 4876 GRIMSTAD 4876 GRIMSTAD,GRIMSTAD,NC MANAGED VPN ACCESS,100000
377,1413,Up,80225753,1866,NG KIWI ROGALAND AS - 7080001029913 Kiwi 628 Auglendsveien AUGLENDSVEIEN 52A 4019 STAVANGER 4019 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
378,1414,Up,80225686,4897,NG KIWI ROGALAND AS - 7080001125615 Kiwi 648 Ålgård SANDNESVEIEN 28 4330 ÅLGÅRD 4330 ÅLGÅRD,GJESDAL,NC MANAGED VPN ACCESS,100000
379,1415,Up,80225623,376,SANDE MEIERI DAGLIGVARE AS - 7080000907809 MENY Sande REVÅVEIEN 5 3070 SANDE I VESTFOLD 3070 SANDE I VESTFOLD,HOLMESTRAND,NC MANAGED VPN ACCESS,100000
380,1416,Up,80225064,105,VÅGEN HANDEL AS - 7080001104627 Joker Fotlandsvåg OSTERØYVEGEN 2734 5283 FOTLANDSVÅG 5283 FOTLANDSVÅG,OSTERØY,NC MANAGED VPN ACCESS,100000
381,1417,Up,80224923,1388,NG SPAR VEST AS - 7080001156633 SPAR Amfi Os PRESTEGARDSKOGEN 2B 5210 OS 5210 OS,BJØRNAFJORDEN,NC MANAGED VPN ACCESS,100000
382,1418,up,80226068,nan,KIWI MINIDRIFT AS - 7080001109134 KIWI Minidrift AS Lier RINGERIKSVEIEN 4B 3414 LIERSTRANDA 3414 LIERSTRANDA,LIER,NC MANAGED VPN ACCESS,100000
383,1419,Up,80226060,nan,ASKO OSLOFJORD AS - 7080001412722 HANEKLEIVA 77 3070 SANDE I VESTFOLD 3070 SANDE I VESTFOLD,HOLMESTRAND,NC MANAGED VPN ACCESS,200000
384,1420,Up,80225180,972,NG SPAR INNLAND AS - 7080000027644 SPAR Gran SMIEGATA 17 2750 GRAN 2750 GRAN,GRAN,NC MANAGED VPN ACCESS,100000
385,1421,Up,80225009,94,KR FJELD AS - 7080001100056 MENY Rising LUKSEFJELLVEGEN 53 3716 SKIEN 3716 SKIEN,SKIEN,NC MANAGED VPN ACCESS,100000
386,1422,Up,80224951,2258,TELESENTERET SELJORD AS - 7080000764051 MENY Seljord VEKANVEGEN 1A 3840 SELJORD 3840 SELJORD,SELJORD,NC MANAGED VPN ACCESS,100000
387,1423,Up,80224983,5023,HELGØ MENY ROGALAND AS - 7080001166243 MENY Karmsundgata KARMSUNDGATA 60 5529 HAUGESUND 5529 HAUGESUND,HAUGESUND,NC MANAGED VPN ACCESS,100000
388,1424,Up,80224835,99993,KIWI NORGE AS - 7080003271310 QXZ Kiwi Skolen - test but VEBJØRNS VEI 1E 3414 LIERSTRANDA 3414 LIERSTRANDA,LIER,NC MANAGED VPN ACCESS,100000
389,1425,Up,80225823,15607,NG KIWI ROGALAND AS - 7080001426347 Kiwi 651 Klepp K.K. KLEPPES VEG 4 4350 KLEPPE 4350 KLEPPE,KLEPP,NC MANAGED VPN ACCESS,100000
390,1426,Up,80225768,1538,JOKER-FINSLAND PEDER SVERRE FINSÅDAL - 7080000194285 Joker Finsland SONGDALSVEGEN 736 4646 FINSLAND 4646 FINSLAND,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
391,1427,Up,80226034,958,LENTUS BUTIKKDRIFT AS - 7080001401610 Joker Folkestad VESTLIA 1 1592 VÅLER I ØSTFOLD 1592 VÅLER I ØSTFOLD,VÅLER (VIKEN),NC MANAGED VPN ACCESS,100000
392,1428,Up,80226081,22903,BJØRN SKRUDLAND AS - 7080004034631 SPAR Torget DOMKIRKEPLASSEN 1 4006 STAVANGER 4006 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
393,1429,Up,80225767,1399,HØLLEN BRYGGE AS - 7080000919024 Joker Høllen HØLLEVEIEN 234 4640 SØGNE 4640 SØGNE,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
394,1430,Up,80226084,1373,LANGEVÅG MAT AS - 7080001077679 SPAR Bømlo VESTVIKVEGEN 2 5443 BØMLO 5443 BØMLO,BØMLO,NC MANAGED VPN ACCESS,100000
395,1431,Up,80226200,18322,ÅKLE MAT AS - 7080003833723 Joker Iveland ÅKLE 1 4724 IVELAND 4724 IVELAND,IVELAND,NC MANAGED VPN ACCESS,100000
396,1432,Up,80226198,1644,NG MENY VESTFOLD TELEMARK AS - 7080001110628 MENY Haslesenteret NEDRE GOKSTADVEI 27 3228 SANDEFJORD 3228 SANDEFJORD,SANDEFJORD,NC MANAGED VPN ACCESS,100000
397,1433,Up,80225741,952,NG KIWI VEST AS - 7080001096151 Kiwi 878 Birkebeinersenter NYE SANDVIKSVEIEN 9 5003 BERGEN 5003 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
398,1434,Up,80226175,141,ÅSANE MAT AS - 7080000963140 SPAR Åsane GRÅGÅSVEIEN 43 4622 KRISTIANSAND S 4622 KRISTIANSAND S,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
399,1435,Up,80226039,4960,NG SPAR ROGALAND AS - 7080001376963 SPAR Jørpeland STÅLVERKSVEGEN 4 4100 JØRPELAND 4100 JØRPELAND,STRAND,NC MANAGED VPN ACCESS,100000
400,1436,Up,80225832,1119,NG KIWI ROGALAND AS - 7080001029852 Kiwi 621 Tau RYFYLKEVEGEN 1990B 4120 TAU 4120 TAU,STRAND,NC MANAGED VPN ACCESS,100000
401,1437,Up,80225682,4610,NG KIWI VEST AS - 7080001103729 Kiwi 880 Strandgaten Berge STRANDGATEN 204 5004 BERGEN 5004 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
402,1438,Up,80225676,2243,KRONSTAD MAT AS - 7080000761821 Kiwi 803 Kronstad JONAS LIES VEI 62 5053 BERGEN 5053 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
403,1439,Up,80225748,18564,NG KIWI VEST AS - 7080001393359 Kiwi 866 Hylkje HYLKJEBAKKEN 3 5109 HYLKJE 5109 HYLKJE,BERGEN,NC MANAGED VPN ACCESS,100000
404,1440,Up,80225935,2319,NG KIWI ROGALAND AS - 7080001029777 Kiwi 616 Sola SOLAKROSSVEGEN 4 4050 SOLA 4050 SOLA,SOLA,NC MANAGED VPN ACCESS,100000
405,1441,Up,80225927,6100,STORCASH NORGE AS - 7080000930371 Sola Storcash SKVADRONVEGEN 18 4050 SOLA 4050 SOLA,SOLA,NC MANAGED VPN ACCESS,100000
406,1442,Up,80225701,2250,NG KIWI VEST AS - 7080000908752 Kiwi 864 Vaskerelven VASKERELVEN 4 5014 BERGEN 5014 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
407,1443,Up,80225766,7640,NG KIWI ROGALAND AS - 7080001235369 Kiwi 606 Gosen GOSENBAKKEN 1 4041 HAFRSFJORD 4041 HAFRSFJORD,STAVANGER,NC MANAGED VPN ACCESS,100000
408,1444,Up,80225706,1080,KAARBØ & SAXEVIK AS - 7080001432652 SPAR Karensfryd FRYDENBØLIEN 17 5056 BERGEN 5056 BERGEN,BERGEN,NC MANAGED VPN ACCESS,100000
409,1445,Up,80230308,233,NG SPAR ROMSDAL OG NORDMØRE AS - 7080001114008 SPAR Aukra NYJORDVEGEN 1 6480 AUKRA 6480 AUKRA,AUKRA,NC MANAGED VPN ACCESS,100000
410,1446,Up,80226196,1489,NG KIWI BUSKERUD AS - 7080001113025 Kiwi 361 Strømsø TORDENSKIOLDS GATE 22 3044 DRAMMEN 3044 DRAMMEN,DRAMMEN,NC MANAGED VPN ACCESS,100000
411,1447,Up,80226193,21943,NG MENY SØR AS - 7080001433291 MENY Sørlandsparken GRASDALEN 14 4636 KRISTIANSAND S 4636 KRISTIANSAND S,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
412,1448,Up,80230188,21685,NG KIWI OSLO AKERSHUS AS - 7080001431464 Kiwi 273 Cecilie Thoresens CECILIE THORESENS VEI 11 1153 OSLO 1153 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
413,1449,Up,80226127,1199,NG KIWI ROGALAND AS - 7080001014445 Kiwi 631 Spannavegen SPANNAVEGEN 56 5531 HAUGESUND 5531 HAUGESUND,HAUGESUND,NC MANAGED VPN ACCESS,100000
414,1450,Up,80226163,2320,NG KIWI ROGALAND AS - 7080001029784 Kiwi 617 Rosseland KONG HAAKONS VEG 1 4345 BRYNE 4345 BRYNE,TIME,NC MANAGED VPN ACCESS,100000
415,1451,Up,80226146,11580,NG KIWI ROGALAND AS - 7080003465238 Kiwi 622 Salhusvegen SALHUSVEGEN 93 5529 HAUGESUND 5529 HAUGESUND,HAUGESUND,NC MANAGED VPN ACCESS,100000
416,1452,Up,80224979,332,EIKELANDSOSEN MAT AS - 7080001100100 SPAR Eikelandsosen TORSNESET 23 5640 EIKELANDSOSEN 5640 EIKELANDSOSEN,BJØRNAFJORDEN,NC MANAGED VPN ACCESS,100000
417,1453,Up,80226011,174,NG SPAR VEST AS - 7080001099718 SPAR Hylkje HYLKJEBAKKEN 1 5109 HYLKJE 5109 HYLKJE,BERGEN,NC MANAGED VPN ACCESS,100000
418,1454,Up,80226032,2401,BUTIKK BUENA AS - 7080000584345 Nærbutikken Buena SØVIKVEGEN 21 5215 LYSEKLOSTER 5215 LYSEKLOSTER,BJØRNAFJORDEN,NC MANAGED VPN ACCESS,100000
419,1455,Up,80225804,1397,NYE DÅSNES MAT AS - 7080001376055 Joker Dåsnes DÅSNESVEGEN 31 4737 HORNNES 4737 HORNNES,EVJE OG HORNNES,NC MANAGED VPN ACCESS,100000
420,1456,Up,80225872,992,NYE TOP MATSENTER AS - 7080000028320 SPAR Evje VERKSVEGEN 2 4735 EVJE 4735 EVJE,EVJE OG HORNNES,NC MANAGED VPN ACCESS,100000
421,1457,"Up, but backup is down",80226009,2353,NG KIWI AGDER AS - 7080001312978 Kiwi 740 Evje SMIEVEGEN 3 4735 EVJE 4735 EVJE,EVJE OG HORNNES,NC MANAGED VPN ACCESS,100000
422,1458,Up,80225930,1632,HANOL AS - 7080001028619 Joker Tinnheia TINNHEIVEIEN 8 4629 KRISTIANSAND S 4629 KRISTIANSAND S,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
423,1459,Up,80225809,1697,HANOL KROSSEN AS - 7080001172886 Joker Krossen SULDALSVEIEN 1 4617 KRISTIANSAND S 4617 KRISTIANSAND S,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
424,1460,Up,80224820,10441,HELGØ MENY ROGALAND AS - 7080003413680 Helgø MENY Sandnes GRAVARSVEIEN 7 4306 SANDNES 4306 SANDNES,SANDNES,NC MANAGED VPN ACCESS,100000
425,1461,Up,80225946,18282,NG KIWI AGDER AS - 7080001386382 Kiwi 744 Biesletta ARENDALSVEIEN 25 4878 GRIMSTAD 4878 GRIMSTAD,GRIMSTAD,NC MANAGED VPN ACCESS,100000
426,1462,Up,80229261,167,HOLMSBU HANDEL AS - 7080001428174 Nærbutikken Holmsbu THOMASLØKKEN 2 3484 HOLMSBU 3484 HOLMSBU,ASKER,NC MANAGED VPN ACCESS,100000
427,1463,Up,80225813,1378,HÅKON DAGLIGVARER AS - 7080001182847 Joker Jelsagaten JELSAGATA 1 4012 STAVANGER 4012 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
428,1464,Up,80225793,1101,VÅLAND MAT AS - 7080000033690 Joker Våland ARMAUER HANSENS VEI 11 4011 STAVANGER 4011 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
429,1465,Up,80225593,6441,MATHUSET FLÅ AS - 7080001217518 Kiwi 209 Flå SVINGELIE 6 3539 FLÅ 3539 FLÅ,FLÅ,NC MANAGED VPN ACCESS,100000
430,1466,Up,80225918,8540,NG KIWI BUSKERUD AS - 7080003330314 Kiwi 572 Hønengata HØNENGATA 70B 3515 HØNEFOSS 3515 HØNEFOSS,RINGERIKE,NC MANAGED VPN ACCESS,100000
431,1467,Up,80225821,5075,NG KIWI BUSKERUD AS - 7080001191658 Kiwi 527 Vikersund VIKERSUNDGATA 32 3370 VIKERSUND 3370 VIKERSUND,MODUM,NC MANAGED VPN ACCESS,100000
432,1468,Up,80225582,9,NG SPAR INNLAND AS - 7080000001279 SPAR Beitostølen BYGDINVEGEN 3783 2953 BEITOSTØLEN 2953 BEITOSTØLEN,ØYSTRE SLIDRE,NC MANAGED VPN ACCESS,100000
433,1469,Up,80226026,14602,TRYSILFJELLET DAGLIGVARE AS - 7080001352240 KIWI 222 Trysilfjellet VESTSIDEVEGEN 4 2420 TRYSIL 2420 TRYSIL,TRYSIL,NC MANAGED VPN ACCESS,100000
434,1470,Up,80226006,1873,NG SPAR ROGALAND AS - 7080000463060 SPAR Bryne ARNE GARBORGS VEG 15 4344 BRYNE 4344 BRYNE,TIME,NC MANAGED VPN ACCESS,100000
435,1472,Up,80226185,5841,NG KIWI BUSKERUD AS - 7080001206765 Kiwi 530 Liertoppen DRAMMENSVEIEN 201 3420 LIERSKOGEN 3420 LIERSKOGEN,LIER,NC MANAGED VPN ACCESS,100000
436,1473,Up,80226209,2229,MENY INDRE HAVN AS - 7080000748273 MENY Indre Havn KILGATA 25 3217 SANDEFJORD 3217 SANDEFJORD,SANDEFJORD,NC MANAGED VPN ACCESS,100000
437,1474,Up,80226184,5820,LØGEVIK DAGLIGVARE AS - 7080001102487 Kiwi 681 Sokndal GAMLEVEIEN 54 4380 HAUGE I DALANE 4380 HAUGE I DALANE,SOKNDAL,NC MANAGED VPN ACCESS,100000
438,1475,Up,80230193,4875,BOLLHAUGEN AS - 7080000631964 SPAR Dønna KAIBAKKEN 1 8820 DØNNA 8820 DØNNA,DØNNA,NC MANAGED VPN ACCESS,100000
439,1476,Up,80225977,1955,NG KIWI BUSKERUD AS - 7080001112943 Kiwi 329 Hokksund VESTRE BRUGATE 3 3300 HOKKSUND 3300 HOKKSUND,ØVRE EIKER,NC MANAGED VPN ACCESS,100000
440,1477,Up,80225926,15242,NG KIWI INNLAND AS - 7080000643028 Kiwi 020 Dokka STORGATA 55 2870 DOKKA 2870 DOKKA,NORDRE LAND,NC MANAGED VPN ACCESS,100000
441,1478,Up,80225600,2214,BJONEROA DAGLIGVARE AS - 7080001386368 Joker Bjoneroa VESTSIDEVEGEN 149 3522 BJONEROA 3522 BJONEROA,GRAN,NC MANAGED VPN ACCESS,100000
442,1479,Up,80226206,1569,NG KIWI BUSKERUD AS - 7080001113087 Kiwi 379 Bødalen BAKKEVEIEN 1 3472 BØDALEN 3472 BØDALEN,ASKER,NC MANAGED VPN ACCESS,100000
443,1480,Up,80226203,1631,ODDERNES KOLONIAL AS - 7080000377220 Joker Oddernesveien ODDERNESVEIEN 25 4630 KRISTIANSAND S 4630 KRISTIANSAND S,KRISTIANSAND,NC MANAGED VPN ACCESS,100000
444,1481,Up,80226204,1184,LEIFS MAT AS - 7080000037063 Joker Vennesla VENNESLAVEGEN 298 4707 VENNESLA 4707 VENNESLA,VENNESLA,NC MANAGED VPN ACCESS,100000
445,1482,Up,80226202,2181,HOPESTRAND VAREHANDEL AS - 7080000715626 Joker Hopestrand ÅKVÅGVEIEN 456 4957 RISØR 4957 RISØR,RISØR,NC MANAGED VPN ACCESS,100000
446,1483,Up,80226021,2161,NG KIWI INNLAND AS - 7080000643110 Kiwi 029 Stavsjø TINGNESVEGEN 21 2353 STAVSJØ 2353 STAVSJØ,RINGSAKER,NC MANAGED VPN ACCESS,100000
447,1484,Up,80230030,263,BRØDR MARAAK AS - 7080000008056 Joker Geiranger MARÅKVEGEN 49 6216 GEIRANGER 6216 GEIRANGER,STRANDA,NC MANAGED VPN ACCESS,100000
448,1485,Up,80225546,4294,NG KIWI OSLO AKERSHUS AS - 7080001040093 Kiwi 305 Kjørbo SANDVIKSVEIEN 183 1337 SANDVIKA 1337 SANDVIKA,BÆRUM,NC MANAGED VPN ACCESS,100000
449,1486,Up,80225742,345,NG KIWI VEST AS - 7080001074500 KIWI 868 Skjoldskiftet OSVEGEN 3 5228 NESTTUN 5228 NESTTUN,BERGEN,NC MANAGED VPN ACCESS,100000
